ROWID,Country,SourceYear,Academy,Entry,Number of Candidates under Induction,YearCode,Year
123,India,2013-14,NDA,Air Force,211,2013,"Financial Year (Apr - Mar), 2013"
124,India,2013-14,NDA,Army,617,2013,"Financial Year (Apr - Mar), 2013"
125,India,2013-14,IMA,IMA(DE),487,2013,"Financial Year (Apr - Mar), 2013"
126,India,2013-14,OTA,JAG,14,2013,"Financial Year (Apr - Mar), 2013"
127,India,2013-14,OTA,JAGW,6,2013,"Financial Year (Apr - Mar), 2013"
128,India,2013-14,NDA,Navy,120,2013,"Financial Year (Apr - Mar), 2013"
129,India,2013-14,OTA,NCC,84,2013,"Financial Year (Apr - Mar), 2013"
130,India,2013-14,OTA,NCCW,12,2013,"Financial Year (Apr - Mar), 2013"
131,India,2013-14,IMA,PC(SL),55,2013,"Financial Year (Apr - Mar), 2013"
132,India,2013-14,IMA,SCO,124,2013,"Financial Year (Apr - Mar), 2013"
133,India,2013-14,OTA,SSC(NT),181,2013,"Financial Year (Apr - Mar), 2013"
134,India,2013-14,Tech Entries,SSC(Tech),149,2013,"Financial Year (Apr - Mar), 2013"
135,India,2013-14,OTA,SSCW(NT),46,2013,"Financial Year (Apr - Mar), 2013"
136,India,2013-14,OTA,SSCW(Tech),37,2013,"Financial Year (Apr - Mar), 2013"
137,India,2013-14,Tech Entries,TGC,288,2013,"Financial Year (Apr - Mar), 2013"
138,India,2013-14,Tech Entries,UES,83,2013,"Financial Year (Apr - Mar), 2013"
139,India,2014-15,Tech Entries,10+2 TES,202,2014,"Financial Year (Apr - Mar), 2014"
140,India,2014-15,IMA,ACC,112,2014,"Financial Year (Apr - Mar), 2014"
141,India,2014-15,NDA,Air Force,132,2014,"Financial Year (Apr - Mar), 2014"
142,India,2014-15,NDA,Army,392,2014,"Financial Year (Apr - Mar), 2014"
143,India,2014-15,IMA,IMA(DE),278,2014,"Financial Year (Apr - Mar), 2014"
144,India,2014-15,OTA,JAG,19,2014,"Financial Year (Apr - Mar), 2014"
145,India,2014-15,OTA,JAGW,12,2014,"Financial Year (Apr - Mar), 2014"
146,India,2014-15,NDA,Navy,71,2014,"Financial Year (Apr - Mar), 2014"
147,India,2014-15,OTA,NCC,79,2014,"Financial Year (Apr - Mar), 2014"
148,India,2014-15,OTA,NCCW,8,2014,"Financial Year (Apr - Mar), 2014"
149,India,2014-15,IMA,PC(SL),47,2014,"Financial Year (Apr - Mar), 2014"
150,India,2014-15,IMA,SCO,71,2014,"Financial Year (Apr - Mar), 2014"
151,India,2014-15,OTA,SSC(NT),169,2014,"Financial Year (Apr - Mar), 2014"
